Common_id,Neuron,Cook_type,Cook_typecode,Cook_subtype,Witvliet_type,Witvliet_typecode
1,ADAL,inter,2,IN3,inter,2
2,ADAR,inter,2,IN3,inter,2
3,ADEL,sensory,1,SN3,modulatory,4
4,ADER,sensory,1,SN3,modulatory,4
5,ADFL,sensory,1,SN6,sensory,1
6,ADFR,sensory,1,SN6,sensory,1
7,ADLL,sensory,1,SN5,sensory,1
8,ADLR,sensory,1,SN5,sensory,1
9,AFDL,sensory,1,SN6,sensory,1
10,AFDR,sensory,1,SN6,sensory,1
11,AIAL,inter,2,IN3,inter,2
12,AIAR,inter,2,IN3,inter,2
13,AIBL,inter,2,IN2,inter,2
14,AIBR,inter,2,IN2,inter,2
15,AIML,inter,2,IN4,modulatory,4
16,AIMR,inter,2,IN4,modulatory,4
17,AINL,inter,2,IN4,inter,2
18,AINR,inter,2,IN4,inter,2
19,AIYL,inter,2,IN3,inter,2
20,AIYR,inter,2,IN3,inter,2
21,AIZL,inter,2,IN3,inter,2
22,AIZR,inter,2,IN3,inter,2
23,ALA,inter,2,IN3,modulatory,4
24,ALML,sensory,1,SN3,sensory,1
25,ALMR,sensory,1,SN3,sensory,1
26,ALNL,sensory,1,SN4,sensory,1
27,ALNR,sensory,1,SN4,sensory,1
28,AQR,sensory,1,SN4,sensory,1
29,ASEL,sensory,1,SN6,sensory,1
30,ASER,sensory,1,SN6,sensory,1
31,ASGL,sensory,1,SN6,sensory,1
32,ASGR,sensory,1,SN6,sensory,1
33,ASHL,sensory,1,SN5,sensory,1
34,ASHR,sensory,1,SN5,sensory,1
35,ASIL,sensory,1,SN6,sensory,1
36,ASIR,sensory,1,SN6,sensory,1
37,ASJL,sensory,1,SN6,sensory,1
38,ASJR,sensory,1,SN6,sensory,1
39,ASKL,sensory,1,SN6,sensory,1
40,ASKR,sensory,1,SN6,sensory,1
41,AUAL,inter,2,IN3,sensory,1
42,AUAR,inter,2,IN3,sensory,1
43,AVAL,inter,2,IN1,inter,2
44,AVAR,inter,2,IN1,inter,2
45,AVBL,inter,2,IN1,inter,2
46,AVBR,inter,2,IN1,inter,2
47,AVDL,inter,2,IN2,inter,2
48,AVDR,inter,2,IN2,inter,2
49,AVEL,inter,2,IN1,inter,2
50,AVER,inter,2,IN1,inter,2
51,AVFL,inter,2,IN3,modulatory,4
52,AVFR,inter,2,IN3,modulatory,4
53,AVHL,inter,2,IN3,modulatory,4
54,AVHR,inter,2,IN3,modulatory,4
55,AVJL,inter,2,IN2,inter,2
56,AVJR,inter,2,IN2,inter,2
57,AVKL,inter,2,IN2,modulatory,4
58,AVKR,inter,2,IN2,modulatory,4
59,AVL,inter,2,IN2,modulatory,4
60,AVM,sensory,1,SN3,sensory,1
61,AWAL,sensory,1,SN6,sensory,1
62,AWAR,sensory,1,SN6,sensory,1
63,AWBL,sensory,1,SN6,sensory,1
64,AWBR,sensory,1,SN6,sensory,1
65,AWCL,sensory,1,SN6,sensory,1
66,AWCR,sensory,1,SN6,sensory,1
67,BAGL,sensory,1,SN4,sensory,1
68,BAGR,sensory,1,SN4,sensory,1
69,BDUL,inter,2,IN3,inter,2
70,BDUR,inter,2,IN3,inter,2
71,CEPDL,sensory,1,SN1,modulatory,4
72,CEPDR,sensory,1,SN1,modulatory,4
73,CEPVL,sensory,1,SN1,modulatory,4
74,CEPVR,sensory,1,SN1,modulatory,4
75,DVA,sensory,1,SN3,sensory,1
76,DVC,inter,2,IN2,modulatory,4
77,FLPL,sensory,1,SN3,sensory,1
78,FLPR,sensory,1,SN3,sensory,1
79,HSNL,motor,3,SN_herm,modulatory,4
80,HSNR,motor,3,SN_herm,modulatory,4
81,IL1DL,sensory,1,SN1,motor,3
82,IL1DR,sensory,1,SN1,motor,3
83,IL1L,sensory,1,SN1,motor,3
84,IL1R,sensory,1,SN1,motor,3
85,IL1VL,sensory,1,SN1,motor,3
86,IL1VR,sensory,1,SN1,motor,3
87,IL2DL,sensory,1,SN1,sensory,1
88,IL2DR,sensory,1,SN1,sensory,1
89,IL2L,sensory,1,SN1,sensory,1
90,IL2R,sensory,1,SN1,sensory,1
91,IL2VL,sensory,1,SN1,sensory,1
92,IL2VR,sensory,1,SN1,sensory,1
93,OLLL,sensory,1,SN1,sensory,1
94,OLLR,sensory,1,SN1,sensory,1
95,OLQDL,sensory,1,SN1,sensory,1
96,OLQDR,sensory,1,SN1,sensory,1
97,OLQVL,sensory,1,SN1,sensory,1
98,OLQVR,sensory,1,SN1,sensory,1
99,PLNL,sensory,1,SN4,sensory,1
100,PLNR,sensory,1,SN4,sensory,1
101,PVCL,inter,2,IN1,inter,2
102,PVCR,inter,2,IN1,inter,2
103,PVNL,inter,2,IN3,modulatory,4
104,PVNR,inter,2,IN3,modulatory,4
105,PVPL,inter,2,IN3,inter,2
106,PVPR,inter,2,IN3,inter,2
107,PVQL,inter,2,IN3,modulatory,4
108,PVQR,inter,2,IN3,modulatory,4
109,PVR,inter,2,IN3,inter,2
110,PVT,inter,2,IN2,inter,2
111,RIAL,inter,2,IN1,inter,2
112,RIAR,inter,2,IN1,inter,2
113,RIBL,inter,2,IN2,inter,2
114,RIBR,inter,2,IN2,inter,2
115,RICL,inter,2,IN2,modulatory,4
116,RICR,inter,2,IN2,modulatory,4
117,RID,inter,2,IN1,modulatory,4
118,RIFL,inter,2,IN3,inter,2
119,RIFR,inter,2,IN3,inter,2
120,RIGL,inter,2,IN2,inter,2
121,RIGR,inter,2,IN2,inter,2
122,RIH,inter,2,IN4,inter,2
123,RIML,inter,2,IN1,inter,2
124,RIMR,inter,2,IN1,inter,2
125,RIPL,inter,2,IN_linker,inter,2
126,RIPR,inter,2,IN_linker,inter,2
127,RIR,inter,2,IN4,inter,2
128,RIS,inter,2,IN3,modulatory,4
129,RIVL,motor,3,HMN,motor,3
130,RIVR,motor,3,HMN,motor,3
131,RMDDL,motor,3,HMN,motor,3
132,RMDDR,motor,3,HMN,motor,3
133,RMDL,motor,3,HMN,motor,3
134,RMDR,motor,3,HMN,motor,3
135,RMDVL,motor,3,HMN,motor,3
136,RMDVR,motor,3,HMN,motor,3
137,RMED,motor,3,HMN,motor,3
138,RMEL,motor,3,HMN,motor,3
139,RMER,motor,3,HMN,motor,3
140,RMEV,motor,3,HMN,motor,3
141,RMFL,motor,3,HMN,motor,3
142,RMFR,motor,3,HMN,motor,3
143,RMGL,inter,2,IN2,modulatory,4
144,RMGR,inter,2,IN2,modulatory,4
145,RMHL,motor,3,HMC,motor,3
146,RMHR,motor,3,HMC,motor,3
147,SAADL,inter,2,IN2,sensory,2
148,SAADR,inter,2,IN2,sensory,2
149,SAAVL,inter,2,IN2,sensory,2
150,SAAVR,inter,2,IN2,sensory,2
151,SDQL,sensory,1,SN4,sensory,1
152,SDQR,sensory,1,SN4,sensory,1
153,SIADL,motor,3,SMN,motor,3
154,SIADR,motor,3,SMN,motor,3
155,SIAVL,motor,3,SMN,motor,3
156,SIAVR,motor,3,SMN,motor,3
157,SIBDL,motor,3,SMN,motor,3
158,SIBDR,motor,3,SMN,motor,3
159,SIBVL,motor,3,SMN,motor,3
160,SIBVR,motor,3,SMN,motor,3
161,SMBDL,motor,3,SMN,motor,3
162,SMBDR,motor,3,SMN,motor,3
163,SMBVL,motor,3,SMN,motor,3
164,SMBVR,motor,3,SMN,motor,3
165,SMDDL,motor,3,SMN,motor,3
166,SMDDR,motor,3,SMN,motor,3
167,SMDVL,motor,3,SMN,motor,3
168,SMDVR,motor,3,SMN,motor,3
169,URADL,motor,3,HMN,motor,3
170,URADR,motor,3,HMN,motor,3
171,URAVL,motor,3,HMN,motor,3
172,URAVR,motor,3,HMN,motor,3
173,URBL,interneuron,2,IN4,sensory,1
174,URBR,interneuron,2,IN4,sensory,1
175,URXL,sensory,1,SN4,sensory,1
176,URXR,sensory,1,SN4,sensory,1
177,URYDL,sensory,1,SN1,sensory,1
178,URYDR,sensory,1,SN1,sensory,1
179,URYVL,sensory,1,SN1,sensory,1
180,URYVR,sensory,1,SN1,sensory,1
181,BWM-DL01,muscle,0,endorgan,muscle,0
182,BWM-DL02,muscle,0,endorgan,muscle,0
183,BWM-DL03,muscle,0,endorgan,muscle,0
184,BWM-DL04,muscle,0,endorgan,muscle,0
185,BWM-DL05,muscle,0,endorgan,muscle,0
186,BWM-DL06,muscle,0,endorgan,muscle,0
187,BWM-DL07,muscle,0,endorgan,muscle,0
188,BWM-DL08,muscle,0,endorgan,muscle,0
189,BWM-DR01,muscle,0,endorgan,muscle,0
190,BWM-DR02,muscle,0,endorgan,muscle,0
191,BWM-DR03,muscle,0,endorgan,muscle,0
192,BWM-DR04,muscle,0,endorgan,muscle,0
193,BWM-DR05,muscle,0,endorgan,muscle,0
194,BWM-DR06,muscle,0,endorgan,muscle,0
195,BWM-DR07,muscle,0,endorgan,muscle,0
196,BWM-DR08,muscle,0,endorgan,muscle,0
197,BWM-VL01,muscle,0,endorgan,muscle,0
198,BWM-VL02,muscle,0,endorgan,muscle,0
199,BWM-VL03,muscle,0,endorgan,muscle,0
200,BWM-VL04,muscle,0,endorgan,muscle,0
201,BWM-VL05,muscle,0,endorgan,muscle,0
202,BWM-VL06,muscle,0,endorgan,muscle,0
203,BWM-VL07,muscle,0,endorgan,muscle,0
204,BWM-VL08,muscle,0,endorgan,muscle,0
205,BWM-VR01,muscle,0,endorgan,muscle,0
206,BWM-VR02,muscle,0,endorgan,muscle,0
207,BWM-VR03,muscle,0,endorgan,muscle,0
208,BWM-VR04,muscle,0,endorgan,muscle,0
209,BWM-VR05,muscle,0,endorgan,muscle,0
210,BWM-VR06,muscle,0,endorgan,muscle,0
211,BWM-VR07,muscle,0,endorgan,muscle,0
212,BWM-VR08,muscle,0,endorgan,muscle,0
213,CEPshDL,glia,0,endorgan,glia,0
214,CEPshDR,glia,0,endorgan,glia,0
215,CEPshVL,glia,0,endorgan,glia,0
216,CEPshVR,glia,0,endorgan,glia,0
217,GLRDL,glia,0,endorgan,glia,0
218,GLRDR,glia,0,endorgan,glia,0
219,GLRL,glia,0,endorgan,glia,0
220,GLRR,glia,0,endorgan,glia,0
221,GLRVL,glia,0,endorgan,glia,0
222,GLRVR,glia,0,endorgan,glia,0
